"","year","northsouthdistancekm","eastwestdistancekm","areakm2","northsouthdistancemile","eastwestdistancemile","areami2"
"23",1978,265.291489761954,375.188098715082,47703.9013312294,164.844438284875,233.131004086689,18418.5717117903
"24",1979,268.989523246105,392.177937450167,53233.4346478223,167.142289048955,243.687997171348,20553.5355843935
"25",1980,268.989523246105,392.177937450167,53233.2003013914,167.142289048955,243.687997171348,20553.4451027678
"26",1981,268.989523246105,392.177937450167,53234.247394711,167.142289048955,243.687997171348,20553.8493875927
"27",1982,268.989523246105,392.177937450167,53238.1410592634,167.142289048955,243.687997171348,20555.3527392637
"28",1983,268.989523246105,392.177937450167,62895.6755328804,167.142289048955,243.687997171348,24284.1461145962
"29",1984,268.989523246105,392.177937450167,62899.1427789428,167.142289048955,243.687997171348,24285.4848252354
"30",1985,268.989523246105,392.4115438462,62945.8691580074,167.142289048955,243.833153411257,24303.525973645
"31",1986,268.989523246105,392.4115438462,62943.509667473,167.142289048955,243.833153411257,24302.6149696306
"32",1987,268.989523246105,616.212739419422,86672.364277897,167.142289048955,382.896726105786,33464.3731924246
"33",1988,268.989523246105,616.212739419422,86669.7464959976,167.142289048955,382.896726105786,33463.3624615977
"34",1989,268.989523246105,616.212739419422,86668.0547363641,167.142289048955,382.896726105786,33462.7092698197
"35",1990,268.989523246105,616.212739419422,87081.9081541929,167.142289048955,382.896726105786,33622.4989021502
"36",1991,268.989523246105,616.212739419422,87078.7300986658,167.142289048955,382.896726105786,33621.2718485551
"37",1992,268.989523246105,616.212739419422,87083.8594896857,167.142289048955,382.896726105786,33623.2523166866
"38",1993,268.989523246105,616.212739419422,87082.4721180234,167.142289048955,382.896726105786,33622.7166497131
"39",1994,268.989523246105,616.212739419422,87082.3908815257,167.142289048955,382.896726105786,33622.6852841388
"40",1995,276.685707561588,616.212739419422,87548.9696821217,171.924474793252,382.896726105786,33802.8322922066
"41",1996,276.685707561588,616.212739419422,87548.9666658375,171.924474793252,382.896726105786,33802.8311276132
"42",1997,276.685707561588,616.212739419422,87555.0836115992,171.924474793252,382.896726105786,33805.1928926057
"43",1998,276.685707561588,616.212739419422,87661.9183768783,171.924474793252,382.896726105786,33846.4420091495
"44",1999,276.685707561588,616.212739419422,87663.4367544444,171.924474793252,382.896726105786,33847.0282577645
"45",2000,276.685707561588,616.212739419422,87663.125092945,171.924474793252,382.896726105786,33846.9079246362
"46",2001,276.685707561588,616.212739419422,87662.3455566242,171.924474793252,382.896726105786,33846.6069441037
"47",2002,276.685707561588,616.212739419422,87670.7723850373,171.924474793252,382.896726105786,33849.8605594077
"48",2003,276.685707561588,616.347985197618,88280.3697122364,171.924474793252,382.980763910229,34085.2273066339
"49",2004,276.685707561588,616.347985197618,88282.9577739955,171.924474793252,382.980763910229,34086.2265624552
"50",2005,276.685707561588,616.347985197618,88869.7136757421,171.924474793252,382.980763910229,34312.7741896314
"51",2006,300.835357894282,616.347985197618,95181.7983131059,186.930367170128,382.980763910229,36749.8826922868
"52",2007,626.916751786079,644.397156510932,182577.823877281,389.547888974068,400.409705538354,70493.6629546658
"53",2008,626.916751786079,644.397156510932,183165.59991237,389.547888974068,400.409705538354,70720.604457366
"54",2009,626.916751786079,644.397156510932,183166.064567722,389.547888974068,400.409705538354,70720.7838617267
"55",2010,626.916751786079,644.397156510932,183159.240375364,389.547888974068,400.409705538354,70718.1490274089
"56",2011,626.916751786079,644.397156510932,183159.761587057,389.547888974068,400.409705538354,70718.350268286
"57",2012,626.916751786079,644.397156510932,183160.559008899,389.547888974068,400.409705538354,70718.6581544538
"58",2013,626.916751786079,644.397156510932,183765.336612135,389.547888974068,400.409705538354,70952.1639966184
"59",2014,626.916751786079,644.397156510932,183768.904850062,389.547888974068,400.409705538354,70953.5417004186
"60",2015,626.916751786079,644.397156510932,185607.632158521,389.547888974068,400.409705538354,71663.4779916691
"61",2016,626.916751786079,644.397156510932,185603.412563556,389.547888974068,400.409705538354,71661.8487976142
"62",2017,626.916751786079,644.397156510932,185607.262827302,389.547888974068,400.409705538354,71663.3353921469
"63",2018,626.916751786079,644.397156510932,186576.022351824,389.547888974068,400.409705538354,72037.375382084
"64",2019,626.916751786079,644.397156510932,186572.229024577,389.547888974068,400.409705538354,72035.9107708471
