"","year","northsouthdistancekm","eastwestdistancekm","areakm2","northsouthdistancemile","eastwestdistancemile","areami2"
"58",1991,2538.50829470758,3070.60648516246,4566998.07219731,1577.35543759074,1907.98582229188,1763327.08967153
"59",1992,2538.50829470758,3070.60648516246,4568543.19262782,1577.35543759074,1907.98582229188,1763923.66375999
"60",1993,2538.50829470758,3070.60648516246,4568563.52669906,1577.35543759074,1907.98582229188,1763931.51478556
"61",1994,2538.50829470758,3070.60648516246,4574302.94396509,1577.35543759074,1907.98582229188,1766147.51527081
"62",1995,2538.50829470758,3070.60648516246,4579686.40459962,1577.35543759074,1907.98582229188,1768226.08018872
"63",1996,2539.43925960908,3070.60648516246,4585125.05718467,1577.93391218256,1907.98582229188,1770325.95482912
"64",1997,2539.43925960908,3070.60648516246,4585126.94437543,1577.93391218256,1907.98582229188,1770326.68347724
"65",1998,2539.43925960908,3070.60648516246,4585528.94434223,1577.93391218256,1907.98582229188,1770481.89646842
"66",1999,2539.43925960908,3070.60648516246,4585554.02134023,1577.93391218256,1907.98582229188,1770491.57874751
"67",2000,2539.43925960908,3070.60648516246,4586413.73919739,1577.93391218256,1907.98582229188,1770823.51753159
"68",2001,2735.20983493929,3070.60648516246,4771433.09790519,1699.58007034606,1907.98582229188,1842259.86196739
"69",2002,2735.20983493929,3070.60648516246,4802661.88920363,1699.58007034606,1907.98582229188,1854317.3607453
"70",2003,3497.67409677286,3070.60648516246,5634614.65384755,2173.35325118585,1907.98582229188,2175535.98707985
"71",2004,3497.67409677286,3070.60648516246,5635277.64325452,2173.35325118585,1907.98582229188,2175791.96861586
"72",2005,3497.67409677286,3070.60648516246,5635321.18279251,2173.35325118585,1907.98582229188,2175808.77931855
"73",2006,3497.67409677286,3070.60648516246,5635307.71205211,2173.35325118585,1907.98582229188,2175803.57823875
"74",2007,3497.67409677286,3070.60648516246,5689602.58350109,2173.35325118585,1907.98582229188,2196766.93669494
"75",2008,4095.08873446992,3070.60648516246,6507275.30138636,2544.56938202631,1907.98582229188,2512472.00841587
"76",2009,4095.08873446992,3070.60648516246,6513491.41180146,2544.56938202631,1907.98582229188,2514872.06107937
"77",2010,4095.08873446992,3070.60648516246,6516041.79634685,2544.56938202631,1907.98582229188,2515856.76965311
"78",2011,4182.25812965254,3070.60648516246,8388112.99598714,2598.73391628033,1907.98582229188,3238667.20397663
"79",2012,4182.25812965254,3070.60648516246,8388132.89935436,2598.73391628033,1907.98582229188,3238674.88870652
"80",2013,4182.25812965254,3070.60648516246,8388171.63300895,2598.73391628033,1907.98582229188,3238689.84384802
"81",2014,4182.25812965254,3070.60648516246,8431858.37348165,2598.73391628033,1907.98582229188,3255557.38171801
"82",2015,4182.25812965254,3116.09646096825,8463542.93303779,2598.73391628033,1936.2519740483,3267790.85353176
"83",2016,4182.25812965254,3116.09646096825,8463544.75143122,2598.73391628033,1936.2519740483,3267791.5556171
"84",2017,4182.25812965254,3116.09646096825,8463488.89155198,2598.73391628033,1936.2519740483,3267769.988006
"85",2018,4182.25812965254,3116.09646096825,8464228.76624945,2598.73391628033,1936.2519740483,3268055.65510645
"86",2019,4182.25812965254,3116.09646096825,8464206.2931003,2598.73391628033,1936.2519740483,3268046.97817861
